"DRUPAL_NODE","TITLE","DATASTORE_URL","DDATE","CATEGORIES","LONGDESC","GEOGRAPHY","EXTENT","AUTHOR_NAME","MAINTAINER","MAINTAINER_EMAIL","UPDATE_FREQUENCY","DATE_RANGE","RELEASE_DATE","METADATA_UPDATE","LICENSE_SUMMARY","URL","DOWNLOAD_URL","EXCEL_URL","CSV_URL","XML_URL","GOOGLEDOCS_URL","JSON_URL","SHP_URL","KML_URL","TAB_URL","APPS_USING_THIS_DATA","TAGS","apps_using_this_data_urls","license_details","spatial_ref"
"708","National Insurance Number Registrations of Overseas Nationals, Borough","http://data.london.gov.uk/datastore/package/national-insurance-number-registrations-overseas-nationals-borough","JANUARY 2010","Demographics","<p>NINo registrations to adult overseas nationals entering the UK by year of registration, by country of origin.</p>\
<p>100% extract from National Insurance Recording System.</p>\
<p>Figures are rounded to the nearest ten. Some additional disclosure control has been applied. Totals may not sum due to rounding method used.</p>\
<p>Registration date is derived from the date at which a NINo is maintained on the National Insurance Recording System.</p>\
<p>Time Series - Year Of Registration Date Years are shown as financial year (1st April - 31st&nbsp; March).</p>\
<p>Overseas Residents - Foreign nationals who have registered for a NINO but reside abroad.</p>\
<p>Geographical location is assigned by matching postcodes against the relevant postcode directory. Geographical counts are based on individuals recorded address at the time of scan for that reporting period - the individual may have subsequently moved out of the area or back abroad.</p>\
<p><a href=""http://data.london.gov.uk/datafiles/demographics/national-insurance-number-registrations.xls""><strong>ALL years in Excel</strong></a></p>\
<p>Individual years as CSV files:</p>\
<p><a href=""http://data.london.gov.uk/datafiles/demographics/nino-registrations-overseas-borough-2003.csv"">2002-03</a>, <a href=""http://data.london.gov.uk/datafiles/demographics/nino-registrations-overseas-borough-2004.csv"">2003-04</a>, <a href=""http://data.london.gov.uk/datafiles/demographics/nino-registrations-overseas-borough-2005.csv"">2004-05</a>, <a href=""http://data.london.gov.uk/datafiles/demographics/nino-registrations-overseas-borough-2006.csv"">2005-06</a>, <a href=""http://data.london.gov.uk/datafiles/demographics/nino-registrations-overseas-borough-2007.csv"">2006-07</a>, <a href=""http://data.london.gov.uk/datafiles/demographics/nino-registrations-overseas-borough-2008.csv"">2007-08</a>, <a href=""http://data.london.gov.uk/datafiles/demographics/nino-registrations-overseas-borough-2009.csv"">2008-09</a>, <a href=""http://data.london.gov.uk/datafiles/demographics/nino-registrations-overseas-borough-2010.csv"">2009-10</a> <a href=""http://data.london.gov.uk/datafiles/demographics/nino-registrations-overseas-borough-2011.csv"">2010-11</a></p>","Local Authority","Greater London","Department for Work and Pensions","","","Annual","01/04/2002 to 31/03/2011","Aug-11","05/12/2011","","http://83.244.183.180/mgw/live/tabtool.html","http://research.dwp.gov.uk/asd/asd1/niall/index.php?page=nino_allocation","http://data.london.gov.uk/datafiles/demographics/national-insurance-number-registrations.xls","http://data.london.gov.uk/datafiles/demographics/nino-registrations-overseas-borough-2011.csv","http://data.london.gov.uk/datafiles/demographics/nino-registrations-overseas-borough-2009.xml","","","","","","Focus on London - Labour Market, Focus on London - Population and Migration, NINo Visualisation","dwp, migration, national insurance, nino, population","http://data.london.gov.uk/datastore/applications/focus-london-labour-market, http://data.london.gov.uk/datastore/applications/focus-london-population-and-migration, http://data.london.gov.uk/datastore/applications/nino-visualisation","",""
"707","Census 2001 Key Statistics 01: Population","http://data.london.gov.uk/datastore/package/census-2001-key-statistics-01-population","JANUARY 2010","Demographics","<p>2001 Census Key Statistics Table 01 (Usual resident population) for London Boroughs and regional comparitors.</p>\
<p>Cells in this table have been randomly adjusted to avoid the release of confidential data. All data is © Crown Copyright 2003.<br /><br />Area in hectares is on Census day 29 April 2001.<br /><br />The 'Number of students away from home' is number of students and schoolchildren in full-time education who would reside in the area were they not living away from home in term-time.</p>","Local Authority","Greater London","Office for National Statistics","Census Team, Intelligence Unit, Greater London Authority","","Every 10 years","1991 to 2001","2003","10/09/2010","Crown Copyright","","http://www.statistics.gov.uk/census2001/census2001.asp","","http://data.london.gov.uk/datafiles/demographics/census-2001-ks01-borough.csv","http://data.london.gov.uk/datafiles/demographics/census-2001-ks01-borough.xml","","","","","","","census, demography, ons, population","","",""
"703","Alcohol Related Hospital Admissions Indicators, Borough","http://data.london.gov.uk/datastore/package/alcohol-related-hospital-admissions-indicators-borough","JANUARY 2010","Health, health","<p>Alcohol Indicators related to hospital admissions, covering: admitted to hospital with alcohol specific conditions for males, females and under 18's, and admitted to hospital with alcohol attributable conditions.</p>\
<p>Created by NWPHO from Hospital Episode Statistics. Includes data for National Indicator 39. Measures are numbers and rates.</p>","Local Authority","","North West Public Health Observatory (NWPHO)","","","Annual","2003/04 to 2008/09","01/10/2010","28/10/2010","Crown Copyright","http://www.nwph.net/alcohol/lape/nationalindicator.htm","http://www.nwph.net/alcohol/lape/download.htm","http://data.london.gov.uk/datafiles/health/alcohol-indicators-borough.xls","","http://data.london.gov.uk/datafiles/health/alcohol-indicators-borough.xml","","","","","","Focus on London - Health","admissions, alcohol, hospital, ni39, nwpho, under 18","http://data.london.gov.uk/datastore/applications/focus-london-health","",""
"704","Alcohol Related Hospital Admissions","http://data.london.gov.uk/datastore/package/alcohol-related-hospital-admissions","JANUARY 2010","health, Health","<p>Numbers and rates of alcohol related hospital admissions. Hospital Stays for Alcohol Related Harm.</p>\
<p>Measures are Numbers, Percentages and Percentage Change.</p>\
<p>Warnings/Notes: Directly age standardised rates. Rates per 100,000 European Standard population.</p>\
<p>Vital Signs Indicator VSC26: The Vital Signs framework provides a series of indicators from which PCTs may select a number that reflect the priorities for health in that area. www.dh.gov.uk/en/Publicationsandstatistics/Publications/PublicationsPolicyAndGuidance/DH_082542.</p>\
<p>National Indicator Set NI39: The national indicators form part of a new performance framework for local authorities and local authority partnerships. www.communities.gov.uk/localgovernment/performanceframeworkpartnerships/nationalindicators.</p>\
<p>Date of Next Release Mar-10</p>","Local Authority","","North West Public Health Observatory (NWPHO)","","","Annual","2002/03 to 2007/08","01/03/2009","10/09/2010","Crown Copyright","http://www.apho.org.uk/default.aspx?QN=HP_METADATA&IndicatorID=50180","http://www.nwph.net/alcohol/lape/download.htm","","http://data.london.gov.uk/datafiles/health/alcohol-admissions-borough.csv","http://data.london.gov.uk/datafiles/health/alcohol-admissions-borough.xml","","","","","","","admissions, alcohol, hospital, nwpho","","",""
"705","Alcohol Related Mortality","http://data.london.gov.uk/datastore/package/alcohol-related-mortality","JANUARY 2010","health, Health","<p>Alcohol Indicators related to mortality, covering: months of life lost, alcohol specific mortality, alcohol attributable mortality, mortality from chronic liver disease.</p>\
<p>Measures: Numbers, rates and months. Date of Next Release: 01-Oct-10. NWPHO from Office for National Statistics mortality data and mid-year population estimates, and National Centre for Health Outcomes Development from National Statistics (Chronic liver disease)</p>","Local Authority","Greater London","North West Public Health Observatory (NWPHO)","","","Annual","2001 to 2007","01/10/2009","10/09/2010","Crown Copyright","http://www.nwph.net/nwpho/publications/AlcoholAttributableFractions.pdf","http://www.nwph.net/alcohol/lape/download.htm","","http://data.london.gov.uk/datafiles/health/alcohol-mortality-borough.csv","http://data.london.gov.uk/datafiles/health/alcohol-mortality-borough.xml","","","","","","","alcohol, deaths, disease, mortality, nwpho","","",""
"710","Ambulance Call Outs to Assault Incidents","http://data.london.gov.uk/datastore/package/ambulance-call-outs-assault-incidents","NOVEMBER 2010","Crime and Community Safety","<p>Count of all Assault incidents and injuries recorded by London Ambulance Service, per month, per ward in London for a rolling two year period.</p>\
<p>The London Analysts Support site team (LASS) have developed this dataset in consultation with the Ambulance service to make their data more suitable for crime analysis purposes. Please note: The primary purpose of the London Ambulance Service is to save lives and respond effectively to medical emergencies. The data provided here is an extract of ambulance data which is recorded to monitor their performance to this end.</p>\
<p>The LASS team work with the ambulance service to extract data suitable for crime analysis professionals, with the aim of causing minimum disruption to frontline services.</p>\
<p>These incidents of assault injury have been identified through a fairly sophisticated search through various codes and descriptions of incidents that occur in the process of responding to a 999 call. This has been done in close consultation with the ambulance service to ensure that the data is fit for crime analysis purposes. It should be considered that the precision of the crime related information, in the above said process, is of secondary consideration to the need to record accurate medical information, therefore the accuracy of the data may have minor variations over time and in different areas of London. LASS work closely with the London Ambulance Service to ensure that there is no significant impact on the quality of information for crime related purposes.</p>\
<p>Crime analysts use this data to scan for issues, patterns and trends in general violent crime in London. They compare and contrast with traditional sources of intelligence such as recorded crime data from the police. Recently this data set has been used in the Mayor's meetings with the police to identify violent crime hotspots that were not previously recognised. There are ongoing improvements to improve the data collection process. We will be updating the metadata and providing more information in due course. Please contact the LASS team if you have queries or comments, quoting the Datastore project.</p>","Ward","Greater London","London Ambulance Service","London Analyst Support Site (LASS), Intelligence Unit, Greater London Authority","","Quarterly","Monthly counts June 2009 to May 2011","July 2011","05/07/2011","","","","","http://data.london.gov.uk/datafiles/crime-community-safety/ambulance-all-assaults-ward.csv","http://data.london.gov.uk/datafiles/crime-community-safety/ambulance-all-assaults-ward.xml","","","","","","Population Estimates 1961-2009","ambulance, assaults, crime, gla, las, lass, wards","http://data.london.gov.uk/datastore/applications/population-estimates-1961-2009","",""
"718","Benefit Claimants due to Alcoholism","http://data.london.gov.uk/datastore/package/benefit-claimants-due-alcoholism","JANUARY 2010","Health, health","<p>Rates of claimants of Incapacity Benefit/Severe Disablement Allowance whose main medical reason is alcoholism. NWPHO from Work and Pensions Longitudinal Study, Department for Work and Pensions Information Directorate (claimants). Numbers and rates. Confidence intervals supplied by NWPHO.</p>","Local Authority","Greater London","North West Public Health Observatory (NWPHO)","","","Annual","2007 to 2008","2008","10/09/2010","Crown Copyright","http://www.nwph.net/alcohol/lape/download.htm","http://www.nwph.net/nwpho/publications/AlcoholAttributableFractions.pdf","","http://data.london.gov.uk/datafiles/health/claimants-alcoholism-borough.csv","http://data.london.gov.uk/datafiles/health/claimants-alcoholism-borough.xml","","","","","","","alcohol, benefits, claimants, nwpho, nwpho","","",""
"706","Historic Census Population","http://data.london.gov.uk/datastore/package/historic-census-population","JANUARY 2010","Demographics","<p>Estimates of London's population between 1801 and 2001 (persons present 1801 to 1991 and residents in 2001) derived from historic Census data.</p>\
<p>Sources: years to 1971 - Greater London Council Research <a href=""http://data.london.gov.uk/documents/Research-Memorandum-413.pdf"">Memorandum 413</a>, The Changing Population of the London Boroughs; 1981 Census Small Area Statistics, Table 1; 1991 Census Small Area Statistics, Table 1. Figure for Year-1939 is a mid-year estimate for the year 1939.&nbsp; Figure for Year-2001 is the number of residents because the number of persons present is not available for 2001.&nbsp; Note that totals for Greater London may not match due to rounding errors.&nbsp; Figures are estimates to the nearest thousand.</p>\
<p>&nbsp;</p>","Local Authority","Greater London","Greater London Council and Office for National Statistics","Census Team, Intelligence Unit, Greater London Authority","","Every 10 years","1801 to 2001","2001","10/09/2010","Crown Copyright","","","","http://data.london.gov.uk/datafiles/demographics/census-historic-population-borough.csv","http://data.london.gov.uk/datafiles/demographics/census-historic-population-borough.xml","","","","","","Animated Population Cartograms, London Population 1801 to 2001 Visualisation, London Population Density 1801- 2001, Population Estimates 1961-2009, Visualising London Population Growth","census, demography, glc, ons, population","http://data.london.gov.uk/datastore/applications/animated-population-cartograms, http://data.london.gov.uk/datastore/applications/london-population-1801-2001-visualisation, http://data.london.gov.uk/datastore/applications/london-population-density-1801-2001, http://data.london.gov.uk/datastore/applications/population-estimates-1961-2009, http://data.london.gov.uk/datastore/applications/visualising-london-population-growth","",""
"719","Crime Attributable to Alcohol","http://data.london.gov.uk/datastore/package/crime-attributable-alcohol","JANUARY 2010","Crime and Community Safety, health, Health","<p>Alcohol Indicators related to crime, covering: crime rates, violent crime and sexual offences.</p>\
<p>NWPHO from UK Home Office (recorded crimes). Date of Next Release 01/10/2010.</p>","Local Authority","Greater London","North West Public Health Observatory (NWPHO)","","","Annual","2003/04 to 2008/09","01-Oct-09","10/09/2010","Crown Copyright","http://www.nwph.net/alcohol/lape/download.htm","http://www.nwph.net/nwpho/publications/AlcoholAttributableFractions.pdf","","http://data.london.gov.uk/datafiles/health/alcohol-crime-borough.csv","http://data.london.gov.uk/datafiles/health/alcohol-crime-borough.xml","","","","","","","alcohol, crime, nwpho","","",""
"720","Land Transport Deaths due to Alcohol","http://data.london.gov.uk/datastore/package/land-transport-deaths-due-alcohol","JANUARY 2010","Health, health, transport","Deaths from land transport accidents due to alcohol. NWPHO from Department for Transport.\
 Confidence intervals supplied by NWPHO. Land transport accidents include those involving a car, motorcycle, pedal cycle, bus, light goods, heavy good vehicles (HGVs) and other vehicle occupants and pedestrians. Mortality from land transport accidents is available from the National Centre for Health Outcomes Development (NCHOD). Date of Next Release 01/10/2010.\
","Local Authority","Greater London","North West Public Health Observatory (NWPHO)","","","Annual","2004/06 to 2005/07","2008","10/09/2010","Crown Copyright","http://www.nwph.net/alcohol/lape/download.htm","http://www.nwph.net/nwpho/publications/AlcoholAttributableFractions.pdf","","http://data.london.gov.uk/datafiles/health/alcohol-deaths-transport-borough.csv","http://data.london.gov.uk/datafiles/health/alcohol-deaths-transport-borough.xml","","","","","","","alcohol, deaths, mortality, nwpho","","",""
